time (s),zmp_x,init_x_offset
9.12,1.9252903996561583,-0.027895092964172363
9.221,3.1305312158078635,-0.027162736281752586
9.32,2.647408321213006,-0.02517877332866192
9.42,0.5972113753903798,-0.02415202558040619
9.52,1.12879823886811,-0.02570885419845581
9.62,1.8498553914438702,-0.026337677612900734
9.721,0.9590930935292934,-0.026004310697317123
9.821,1.2259942241025006,-0.026770899072289467
9.922,1.7071176604178333,-0.02707456611096859
10.021,0.37328526172424015,-0.026759397238492966
10.119,1.0184543332878793,-0.028054505586624146
10.22,3.5543905603012433,-0.028342198580503464
10.32,3.5065847512131962,-0.025630665943026543
10.421,4.089128043344969,-0.02351689338684082
10.521,3.8800649492945016,-0.021150127053260803
10.62,1.8609736354894044,-0.019499225541949272
10.72,2.090028545287157,-0.02052065171301365
10.821,1.7898032458452002,-0.021072087809443474
10.92,2.727622556001117,-0.021861499175429344
11.02,2.5077340425481283,-0.021405156701803207
11.12,1.9100035254836727,-0.021295154467225075
11.221,0.8454130822060646,-0.021900519728660583
11.318,0.9093973036791367,-0.02361973561346531
11.418,2.396066437173088,-0.024920888245105743
11.518,2.9547088306543943,-0.024237273260951042
11.618,2.1784329686668524,-0.023042356595396996
11.72,2.542066251612219,-0.02298690192401409
11.82,1.344877512684553,-0.022520724684000015
11.919,1.742355009944007,-0.023536521941423416
12.02,3.4222785921482664,-0.023888086900115013
12.12,3.4569907824540906,-0.02222062647342682
12.22,2.643578707829935,-0.02084639109671116
12.32,2.9733781667070627,-0.020690562203526497
12.42,3.2398899032472217,-0.02018333040177822
12.52,3.027744981687701,-0.019468391314148903
12.621,2.9719883592490373,-0.019142528995871544
12.72,3.050412827069037,-0.018946517258882523
12.821,3.02379457424421,-0.018698735162615776
12.92,3.0570163985934418,-0.01853138580918312
13.017,3.1997433636194916,-0.018358970060944557
13.12,3.1455010532132195,-0.018055474385619164
13.221,3.0854479430392483,-0.01787559688091278
13.32,3.121537002395124,-0.017801359295845032
13.421,3.236696407847851,-0.017700104042887688
13.52,3.1700707968166766,-0.017485516145825386
13.62,3.2449364228915716,-0.017391130328178406
13.718,3.3059520028438816,-0.017228778451681137
13.821,3.2646106279184828,-0.017028117552399635
13.918,3.2812165572498904,-0.016915546730160713
14.019,3.2583023367349155,-0.0168062262237072
14.12,3.1975503354055057,-0.016745349392294884
14.219,3.106695300279073,-0.016767121851444244
14.32,3.239660868127033,-0.01688992977142334
14.418,3.13891177035696,-0.016833938658237457
14.52,3.148994150352896,-0.0169060118496418
14.618,3.200808279766308,-0.016951976343989372
14.72,3.1215537903951747,-0.016928644850850105
14.82,3.129246469377512,-0.017001911997795105
14.92,3.1398477280049493,-0.01705160364508629
15.021,3.12566086098131,-0.017079060897231102
